,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,nextAudacc,nextbank,nextfinan
77,I plan to graduate in 2024 June,I am currently working at EY as a part-time tax intern. I have worked as an FS tax intern at PwC and an audit intern at BDO.,I will work at the corporate function for an investment and brokerage firm.,I am planning to study for an accounting or finance-related degree.,I would like to work in Hong Kong if I do not go to graduate school next year. Yet if I do\, I will probably find an intern at the place where my graduate school locates (e.g.\, Canada),I wish I could try financial advisory or consulting or deals\, or fields that I have never touched upon next year.,I would like to work in Hong Kong. Although it's a small place\, it gathers the best FS firms with great industry reputations. Therefore\, there will be more opportunities available.,I think I would try jobs like consulting first as it requires the associate to fly around. It could be demanding physically and mentally so I would like to try it first before I get old.,That depends on my interest after I try different types of jobs\, but one certain thing is that I will stay in the financial services industry. ,I wish I can work in Switzerland as the environment there is really nice and cozy and I believe I would have a sufficient amount of technical knowledge and skills for the job that I would like to do in 10 years\, so moving to another country to work would be less challenging.,False,False,True
78,2024 June,HKPHAB,,,EY,Accounting intern,EY,Accountant,Accountant,Any firm better than EY,,,,,,,,True,False,False
79,2024 Spring,PwC\, MTR\, HKSAR Government,Auditing,Finance,PwC,Auditor,PwC,Auditor,A position in Inland Revenue Department,HKSAR Government,,,,,,True,False,False
80,finish taking course with half-year placement,restaurant,Should be big4,I do not know :(,BIg 4,Audit,Deloitte,Auditor,company's partner,some big company,,,,,,,,True,False,False
81,after this semester,Big4\, in-house finance department of luxury brands,Big4,NA,Big4,Big4,luxury group,Finance role of a luxury group,Top finance role of a top luxury group,Top luxury group,,,,,,,False,False,False
82,After this semester,PwC,PwC,Data analytics,HSBC,Banking or data analytics,Bank or large corporation,Banking or data analytics,Not sure yet,Not sure yet,,,,,,,,False,True,False
83,2023,HSBC tencent ,None,Information ,Hk ,Digital finance,Aboard ,Finance product manager ,Leader ,Hk or aboard,,,,,,,,False,False,True
84,finish taking courses,,,,Hong Kong,ESG related,Hong Kong / China,ESG related(?,haven't considered...,Hong Kong / China,,,,,,,,False,False,False
85,Year 4 summer,,Big Four,,Big Four,Audit,Big Four,Audit,Financial accountant,,,,,,,,,True,False,False
86,May 2024,AIA\, Finex Hong Kong\, White Orchid Insights,AlphaSights,Something related to Finance\, Accounting\, or Data Analytics,Bank,Analyst At A Bank,Bank,Senior Manager At A Bank,CEO,Start-Up Or Own Business,,,,False,False,False
